Instrument Name,DustTrak DRX
Model Number,8533
Serial Number,8533103404
Firmware Version,3.0
Calibration Date,03/12/2014
Test Name,MANUAL_001
Test Start Time,15:40:11
Test Start Date,05/04/2018
Test Length [D:H:M],0:1:20
Test Interval [M:S],0:1
PM1 Average [mg/m3],0.015
PM1 Minimum [mg/m3],0.008
PM1 Maximum [mg/m3],0.131
PM1 TWA [mg/m3],0.002
PM2.5 Average [mg/m3],0.015
PM2.5 Minimum [mg/m3],0.008
PM2.5 Maximum [mg/m3],0.131
PM2.5 TWA [mg/m3],0.002
PM4 Average [mg/m3],0.015
PM4 Minimum [mg/m3],0.008
PM4 Maximum [mg/m3],0.131
PM4 TWA [mg/m3],0.002
PM10 Average [mg/m3],0.015
PM10 Minimum [mg/m3],0.008
PM10 Maximum [mg/m3],0.131
PM10 TWA [mg/m3],0.002
TOTAL Average [mg/m3],0.015
TOTAL Minimum [mg/m3],0.008
TOTAL Maximum [mg/m3],0.131
TOTAL TWA [mg/m3],0.002
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,4849

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
107,0.014,0.014,0.014,0.014,0.014,,
108,0.014,0.014,0.014,0.014,0.014,,
109,0.013,0.013,0.013,0.013,0.013,,
110,0.014,0.014,0.014,0.014,0.014,,
111,0.015,0.015,0.015,0.015,0.015,,
112,0.014,0.014,0.014,0.014,0.014,,
113,0.015,0.015,0.015,0.015,0.015,,
114,0.017,0.017,0.017,0.017,0.017,,
115,0.015,0.015,0.015,0.015,0.015,,
116,0.015,0.015,0.015,0.015,0.015,,
117,0.018,0.018,0.018,0.018,0.018,,
118,0.015,0.015,0.015,0.015,0.015,,
119,0.013,0.013,0.013,0.013,0.013,,
120,0.013,0.013,0.013,0.013,0.013,,
121,0.014,0.014,0.014,0.014,0.014,,
122,0.015,0.015,0.015,0.015,0.015,,
123,0.014,0.014,0.014,0.014,0.014,,
124,0.017,0.017,0.017,0.017,0.017,,
125,0.017,0.017,0.017,0.017,0.017,,
126,0.015,0.015,0.015,0.015,0.015,,
127,0.016,0.017,0.017,0.017,0.017,,
128,0.015,0.015,0.015,0.015,0.015,,
129,0.015,0.015,0.015,0.015,0.015,,
130,0.016,0.016,0.016,0.016,0.016,,
131,0.015,0.015,0.015,0.015,0.015,,
132,0.016,0.016,0.016,0.016,0.016,,
133,0.018,0.018,0.018,0.018,0.018,,
134,0.020,0.020,0.020,0.020,0.020,,
135,0.017,0.017,0.017,0.017,0.017,,
136,0.017,0.017,0.017,0.017,0.017,,
137,0.018,0.018,0.018,0.018,0.018,,
138,0.019,0.019,0.019,0.019,0.019,,
139,0.018,0.018,0.018,0.018,0.018,,
140,0.018,0.018,0.018,0.018,0.018,,
141,0.020,0.020,0.020,0.020,0.020,,
142,0.016,0.016,0.016,0.016,0.016,,
